tokens	ner_tags	langs	spans
"[""'"" ""''"" 'Tokio' 'Hotel' ""''"" ""'"" '–' ""''Schrei"" ""''""]"	[0 0 3 4 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Tokio Hotel']
"[""L'hôpital"" 'le' 'plus' 'proche' 'est' 'à' 'Pertuis' '.']"	[0 0 0 0 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Pertuis']
['Randonnée' 'dans' 'les' 'Pyrénées-Orientales']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Randonnée dans les Pyrénées-Orientales']
"[""'"" ""''"" 'François' 'Asensi' ""''"" ""'"" ',' 'sortant']"	[0 0 1 2 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: François Asensi']
['The' 'Last' 'Shadow' 'Puppets']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: The Last Shadow Puppets']
['REDIRECTION' 'Union' 'populaire' 'agraire' 'lituanienne']	[0 3 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Union populaire agraire lituanienne']
"[""'"" ""''"" 'Avenir' 'sportif' 'de' 'Kasserine' ""''"" ""'""]"	[0 0 3 4 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Avenir sportif de Kasserine']
['Gertrude' 'Astor' '(' 'Scènes' 'supprimées' ')']	[1 2 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Gertrude Astor']
['Équipe' 'de' 'Pologne' 'de' 'volley-ball' 'féminin']	[3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Équipe de Pologne de volley-ball féminin']
['redirection' 'Third' 'Lanark' 'Athletic' 'Club']	[0 3 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Third Lanark Athletic Club']
"['Les' 'dernières' 'plaintes' 'en' 'date' 'concernant' 'le' 'label' 'ont'
 'été' 'effectuées' 'par' 'Megadeth' '.']"	[0 0 0 0 0 0 0 0 0 0 0 0 3 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Megadeth']
"['Bernard' 'Landry' ""''"" '(' '2003-2005' ')']"	[1 2 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Bernard Landry']
"[""''"" 'Odin' ""''"" ""'"" '.']"	[0 1 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Odin']
['James' 'DePreist' '(' '1991-1994' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: James DePreist']
"[""'"" ""''"" 'Medel' '(' 'Lucmagn' ')' ""''"" ""'""]"	[0 0 5 6 6 6 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Medel ( Lucmagn )']
['François' 'Gigot' 'de' 'Lapeyronie']	[1 2 2 2]	['fr' 'fr' 'fr' 'fr']	['PER: François Gigot de Lapeyronie']
"[""'"" ""''"" 'Taylor' 'Kinney' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Taylor Kinney']
"[""'"" ""''"" 'Brooklyn' ""''"" ""'""]"	[0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Brooklyn']
['A' 'Gift' 'from' 'a' 'Flower' 'to' 'a' 'Garden']	[3 4 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: A Gift from a Flower to a Garden']
"[""'"" ""''"" 'Pepsi' 'Center' ""''"" ""'""]"	[0 0 3 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Pepsi Center']
"[""'"" ""''"" 'Simone' 'Corsi' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Simone Corsi']
['Piste' 'Hô' 'Chi' 'Minh']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Piste Hô Chi Minh']
['Roberto' 'Parra1' 'min' '50' 's' '19']	[1 2 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Roberto Parra1']
['Il' 'arrive' 'à' 'Oricon' '.']	[0 0 0 3 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Oricon']
['Red' 'Wings' 'Junior' 'de' 'Détroit']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Red Wings Junior de Détroit']
"['Bosc-Hyons' ""''"" '(' 'km' '45' ')' ""''""]"	[5 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Bosc-Hyons']
['Champlain' '(' 'Ontario' ')']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Champlain ( Ontario )']
['Serhiy' 'Stakhovsky' '-' '-' '6-4' ',' '7-6']	[1 2 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Serhiy Stakhovsky']
"['Musée' 'royal' 'de' ""l'Afrique"" 'centrale' 'à' 'Tervuren']"	[3 4 4 4 4 0 5]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Musée royal de l'Afrique centrale"" 'LOC: Tervuren']"
"['Saint-Chaptes' 'Dernier' 'Jeudi' ""d'août""]"	[5 0 0 0]	['fr' 'fr' 'fr' 'fr']	['LOC: Saint-Chaptes']
"['Histoire' 'de' ""l'Angleterre"" 'anglo-saxonne']"	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	"[""ORG: Histoire de l'Angleterre anglo-saxonne""]"
"['Charles' '``' 'Pretty' 'Boy' ""''"" 'Floyd' 'fût' 'identifié' 'par' 'le'
 'FBI' 'comme' ""l'un"" 'des' 'tireurs' '.']"	[1 2 2 2 2 2 0 0 0 0 3 0 0 0 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr']"	"[""PER: Charles `` Pretty Boy '' Floyd"" 'ORG: FBI']"
"[""'"" ""''"" 'Nicolas' 'Brusque' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Nicolas Brusque']
['Université' 'nationale' 'de' 'Colombie']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Université nationale de Colombie']
['Parti' 'communiste' 'du' 'Brésil' '(' '1962-' ')']	[3 4 4 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Parti communiste du Brésil']
['Saint-Julien' '(' 'Rhône' ')']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Saint-Julien ( Rhône )']
['Monrovia' '(' 'Liberia' ')']	[5 0 5 0]	['fr' 'fr' 'fr' 'fr']	['LOC: Monrovia' 'LOC: Liberia']
['Vlastimir' ',' 'Властимир' '.']	[1 0 0 0]	['fr' 'fr' 'fr' 'fr']	['PER: Vlastimir']
['Françoise' 'de' 'Sévigné']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Françoise de Sévigné']
['San' 'Benedetto' 'del' 'Tronto' ',' '«' '»']	[5 6 6 6 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: San Benedetto del Tronto']
['En' 'France' ',' 'les' 'avis' 'sont' 'tout' 'aussi' 'partagés' '.']	[0 5 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: France']
"[""'"" ""''"" 'FC' 'Levadia' 'Tallinn' ""''"" ""'""]"	[0 0 3 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: FC Levadia Tallinn']
['Estadio' 'Hernando' 'Siles' ',' 'La' 'Paz']	[3 4 4 0 5 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Estadio Hernando Siles' 'LOC: La Paz']
['Gare' 'de' 'Laval']	[3 4 4]	['fr' 'fr' 'fr']	['ORG: Gare de Laval']
"['Elle' 'se' 'trouve' ""aujourd'hui"" 'au' 'Derby' 'Museum' 'and' 'Art'
 'Gallery' '.']"	[0 0 0 0 0 3 4 4 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Derby Museum and Art Gallery']
['17' 'Pat' 'LaFontaine' ',' 'C' ';' 'Islanders' 'de' 'New' 'York' '.']	[0 1 2 0 0 0 3 4 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Pat LaFontaine' 'ORG: Islanders de New York']
"[""C'est"" 'avec' ""l'arrivée"" 'sur' 'le' 'trône' 'Abd' 'al-Rahman' 'III' ','
 ""qu'Al-Andalus"" 'récolte' 'les' 'fruits' 'des' 'efforts' 'entrepris'
 'par' 'les' 'différents' 'émirs' 'durant' 'les' 'deux' 'siècles'
 'précédents' '.']"	[0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	['PER: Abd al-Rahman III']
['Xian' 'de' 'Linqu']	[3 4 4]	['fr' 'fr' 'fr']	['ORG: Xian de Linqu']
['redirection' 'Province' 'de' 'Tchouï']	[0 5 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Province de Tchouï']
"['Il' 'a' 'réalisé' 'entrées' 'en' 'France' ',' 'en' 'Belgique' ',' 'et'
 'en' 'Suisse' '.']"	[0 0 0 0 0 5 0 0 5 0 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: France' 'LOC: Belgique' 'LOC: Suisse']
"['Commission' 'internationale' 'de' 'protection' 'radiologique' '-' 'CIPR'
 '/' 'ICRP']"	[3 4 4 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Commission internationale de protection radiologique - CIPR / ICRP']
"['Ses' 'œuvres' 'tardives' 'dépeignent' 'le' 'Pays' 'basque' ',' 'ses'
 'hommes' 'et' 'ses' 'paysages' '.']"	[0 0 0 0 0 5 6 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Pays basque']
['Amenhotep' 'fils' 'de' 'Hapou']	[1 2 2 2]	['fr' 'fr' 'fr' 'fr']	['PER: Amenhotep fils de Hapou']
['Stéphane' 'Robert' '(' 'Q' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Stéphane Robert']
"[""'"" ""''"" 'THW' 'Kiel' ""''"" ""'""]"	[0 0 3 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: THW Kiel']
"['Sasuke' 'Uchiwa' 'et' 'Itachi' 'Uchiwa' 'dans' 'Naruto' ""''"" '('
 '1999-2014' ')' ';']"	[1 2 0 1 2 0 3 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Sasuke Uchiwa' 'PER: Itachi Uchiwa' 'ORG: Naruto']
['Air' 'Force' 'Cyber' 'Command']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Air Force Cyber Command']
['FC' 'Rosengård' '(' '69.295' ')']	[3 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: FC Rosengård']
['REDIRECTION' 'Mistissini' '(' 'terre' 'réservée' 'crie' ')']	[0 5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Mistissini ( terre réservée crie )']
"['Alain' 'Corbin' ')' ',' 'non' 'seulement' 'comme' 'modèle' 'mais'
 'aussi' 'comme' '«' 'anti-modèle' '»' '(' 'Georges' 'Bataille' ')' '.']"	[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr']"	['PER: Alain Corbin' 'PER: Georges Bataille']
['Le' 'District' 'de' 'Salala']	[0 5 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: District de Salala']
"['Mouvement' 'populaire' 'contre' ""l'Union"" 'européenne']"	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Mouvement populaire contre l'Union européenne""]"
['Grande-Bretagne' ',' 'Empire' 'britannique' ',' 'Royaume-Uni']	[5 0 5 6 0 5]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Grande-Bretagne' 'LOC: Empire britannique' 'LOC: Royaume-Uni']
['Aki' 'Shimazaki' '(' '1954-' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Aki Shimazaki']
['Albacete' '(' 'Espagne' ')' '.']	[5 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Albacete' 'LOC: Espagne']
"['ESSTIN' '(' 'École' 'supérieure' 'des' 'sciences' 'et' 'technologies'
 'de' ""l'ingénieur"" 'de' 'Nancy' ')' ';']"	[3 0 3 4 4 4 4 4 4 4 4 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"['ORG: ESSTIN'
 ""ORG: École supérieure des sciences et technologies de l'ingénieur de Nancy""]"
['Musée' 'Réattu' ',' 'Arles' '.']	[3 4 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Musée Réattu' 'LOC: Arles']
['Ursula' 'K.' 'Le' 'Guin']	[1 2 2 2]	['fr' 'fr' 'fr' 'fr']	['PER: Ursula K. Le Guin']
['La' 'India' 'y' 'Checa']	[1 2 0 5]	['fr' 'fr' 'fr' 'fr']	['PER: La India' 'LOC: Checa']
"['Crescas' ',' 'Hasdaï' ""''"" ',' 'ibid.' ',' 'vol' '.']"	[1 2 2 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Crescas , Hasdaï']
"[""'"" ""''"" 'Robert' 'Gesink' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Robert Gesink']
"['Generals' ""d'Oshawa"" '(' 'LHO' ')']"	[3 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Generals d'Oshawa""]"
"[""'"" ""''"" 'circuit' ""''"" ""'"" '(' 'Denver' ')']"	[0 0 3 0 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: circuit' 'LOC: Denver']
['Parti' 'progressiste' 'serbe' '(' 'SNS' ')']	[3 4 4 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Parti progressiste serbe']
['Saint-Martin' '(' 'Valais' ')']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Saint-Martin ( Valais )']
['Olha' 'Saladukha' '(' 'SB' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Olha Saladukha']
['**' 'Serge' 'Marcil' '(' 'politicien' ')']	[0 1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Serge Marcil']
"['Front' ""d'action"" 'anti-impérialiste' '/' 'Suxxali' 'Reew' 'Mi']"	[3 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""ORG: Front d'action anti-impérialiste / Suxxali Reew Mi""]"
['Matapédia' '(' 'circonscription' 'provinciale' ')']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Matapédia ( circonscription provinciale )']
['Il' 'évolue' 'au' 'poste' 'attaquant' 'à' 'Ittihad' 'Alexandrie' '.']	[0 0 0 0 1 0 3 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: attaquant' 'ORG: Ittihad Alexandrie']
['Cette' 'ville' 'était' 'appelée' 'Nakatsugawa-juku' '.']	[0 0 0 0 3 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Nakatsugawa-juku']
"[""'"" ""''"" 'Cailly' ""''"" ""'""]"	[0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Cailly']
['Pinkerton' 'National' 'Detective' 'Agency']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Pinkerton National Detective Agency']
['Cortes' 'de' 'la' 'Frontera']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Cortes de la Frontera']
['Louis' 'XIV' '(' 'groupe' ')']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Louis XIV ( groupe )']
"['Liste' 'des' 'communes' 'de' ""l'Aude""]"	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	"[""LOC: Liste des communes de l'Aude""]"
"['Pour' 'le' 'Parti' 'québécois' ',' ""l'élection"" 'se' 'déroule' 'à' 'un'
 'bien' 'mauvais' 'moment' '.']"	[0 0 3 4 0 0 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Parti québécois']
['Trophée' 'des' 'champions' '2011']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Trophée des champions 2011']
['Alliance' 'des' 'forces' 'de' 'progrès']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Alliance des forces de progrès']
"['Sa' 'destination' 'ne' 'sera' 'finalement' 'pas' 'la' 'France' 'mais'
 'la' 'Belgique' '.']"	[0 0 0 0 0 0 0 5 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: France' 'LOC: Belgique']
['Les' 'Ailes' 'du' 'destin']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Les Ailes du destin']
['Casimir' 'II' 'de' 'Poméranie']	[1 2 2 2]	['fr' 'fr' 'fr' 'fr']	['PER: Casimir II de Poméranie']
['Shreya' 'Ghoshal' 'et' 'Sonu' 'Nigam']	[1 2 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Shreya Ghoshal' 'PER: Sonu Nigam']
['(' '5' ')' '18x18px' 'North' 'Queensland' 'Cowboys']	[0 0 0 0 3 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: North Queensland Cowboys']
['Nouveau' 'Parti' 'démocratique' 'de' 'la' 'Colombie-Britannique']	[3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Nouveau Parti démocratique de la Colombie-Britannique']
['Eagles' 'de' 'Varsovie']	[3 4 4]	['fr' 'fr' 'fr']	['ORG: Eagles de Varsovie']
['Équipe' 'de' 'Russie' 'de' 'volley-ball' 'féminin']	[3 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Équipe de Russie de volley-ball féminin']
"[""'"" ""''"" 'Davide' 'Sanguinetti' ""''"" ""'""]"	[0 0 1 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Davide Sanguinetti']
['Dick' 'Sprang' '(' '1915-2000' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Dick Sprang']
['Liste' 'des' 'sceaux' 'des' 'États' 'des' 'États-Unis']	[3 4 4 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Liste des sceaux des États des États-Unis']
"['Europe' ',' 'dont' ';' 'la' 'Belgique' ',' 'la' 'France' ',' 'le'
 'Luxembourg' ',' 'les' 'Pays-Bas' ',' 'le' 'Royaume-Uni' ',' 'et']"	[5 0 0 0 0 5 0 0 5 0 0 5 0 0 5 0 0 5 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	"['LOC: Europe' 'LOC: Belgique' 'LOC: France' 'LOC: Luxembourg'
 'LOC: Pays-Bas' 'LOC: Royaume-Uni']"
['Communes' 'de' 'la' 'Haute-Loire']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Communes de la Haute-Loire']
['Museum' 'of' 'Modern' 'Art' ',' 'New' 'York']	[3 4 4 4 0 5 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Museum of Modern Art' 'LOC: New York']
['Comté' 'de' 'Braxton']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Comté de Braxton']
['Université' 'du' 'Québec']	[3 4 4]	['fr' 'fr' 'fr']	['ORG: Université du Québec']
['François' 'II' 'Rákóczi']	[1 2 2]	['fr' 'fr' 'fr']	['PER: François II Rákóczi']
"['Il' 'choisit' 'les' 'juges' 'qui' 'siégeront' 'à' 'la' 'Cour' 'suprême'
 'du' 'Canada' '.']"	[0 0 0 0 0 0 0 0 3 4 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Cour suprême du Canada']
['REDIRECTION' 'Tibet' '(' '1912-1951' ')']	[0 5 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Tibet ( 1912-1951 )']
['Angoisse' '(' 'série' 'télévisée' ')']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Angoisse ( série télévisée )']
['Je' 'ne' 'sais' 'pas' 'Raquel' 'Meller']	[0 0 0 0 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Raquel Meller']
[')' ',' 'Chauvigny' '(' 'hab' '.']	[0 0 5 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Chauvigny']
['Russell' 'Westbrook' '(' '9' ')']	[1 2 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Russell Westbrook']
"['Geena' 'Davis' 'a' 'appris' ""qu'il"" 'circulait' 'un' 'scénario'
 'présentant' 'deux' 'femmes' 'dans' 'les' 'rôles' 'principaux' '.']"	[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr']"	['PER: Geena Davis']
"['Province' ""d'Anvers"" '-' 'Province' 'de' 'Brabant']"	[5 6 0 5 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"[""LOC: Province d'Anvers"" 'LOC: Province de Brabant']"
['Liste' 'des' 'communes' 'des' 'Ardennes']	[5 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des communes des Ardennes']
['Matt' 'Cameron' '(' 'Pearl' 'Jam' ',' 'Soundgarden' ')']	[1 2 0 3 4 0 3 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Matt Cameron' 'ORG: Pearl Jam' 'ORG: Soundgarden']
['Désert' 'du' 'Karakoum']	[3 4 4]	['fr' 'fr' 'fr']	['ORG: Désert du Karakoum']
"['On' 'a' 'trouvé' 'entre' 'autres' 'des' 'monnaies' 'romaines' 'ou'
 'leurs' 'copies' '.']"	[0 0 0 0 0 0 0 5 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: romaines']
"['20px]]' ""'"" ""''"" 'Bucarest' 'Rugby' ""''"" ""'""]"	[0 0 0 3 4 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Bucarest Rugby']
"[""'"" ""''"" 'Belleville-sur-Mer' ""''"" ""'""]"	[0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Belleville-sur-Mer']
['Comté' 'de' 'Grimes']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Comté de Grimes']
"['20px' ""'"" ""''"" 'Gunn-Rita' 'Dahle' 'Flesjå' ""''"" ""'""]"	[0 0 0 1 2 2 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['PER: Gunn-Rita Dahle Flesjå']
"['Biaudos' ""''"" '(' 'km' '277' ')' ""''""]"	[5 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Biaudos']
['Théâtre' 'national' 'de' 'Niš']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Théâtre national de Niš']
['**' 'Vice-champion' 'en' '2015' '.']	[0 0 0 5 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['LOC: 2015']
"[""'"" ""''"" 'Cymric' ""''"" ""'""]"	[0 0 3 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Cymric']
['Parc' 'du' 'Tremblay']	[3 4 4]	['fr' 'fr' 'fr']	['ORG: Parc du Tremblay']
['Alexander' 'von' 'Zemlinsky']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Alexander von Zemlinsky']
['Le' 'climat' 'est' 'océanique' 'avec' 'des' 'étés' 'tempérés' '.']	[0 0 0 5 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: océanique']
"[""'"" ""''"" 'Aprilia' ""''"" ""'""]"	[0 0 3 0 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Aprilia']
['Liste' 'des' 'communes' 'de' 'la' 'Seine-Saint-Denis']	[5 6 6 6 6 6]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['LOC: Liste des communes de la Seine-Saint-Denis']
['Karl' 'August' 'von' 'Reisach' '-']	[1 2 2 2 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: Karl August von Reisach']
['*1' '—' 'Châtelet' '–' 'Villejuif']	[0 0 3 0 5]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Châtelet' 'LOC: Villejuif']
